Date,PredVolMean_GARCH,PredVolQ025_GARCH,PredVolQ975_GARCH,ActualReturn_GARCH,ActualAbsReturn_GARCH,ActualSqReturn_GARCH,WindowAcceptRate,PilotAcceptRate_GARCH,PredVolMean_SV,PredVolQ025_SV,PredVolQ975_SV,ActualReturn_SV,ActualAbsReturn_SV,ActualSqReturn_SV,ParamAcceptRate,LatentAcceptRate,PilotAcceptRate_SV
2023-03-14,0.0122375980070867,0.0107862428949317,0.0139274287381026,0.0160268515578251,0.0160268515578251,0.0002568599708565,0.597,0.9026666666666666,0.0110869385882386,0.0072939399886135,0.0167140039237149,0.0160268515578251,0.0160268515578251,0.0002568599708565,0.585,0.2519766666666667,0.7786666666666666
2023-03-15,0.0128604916168418,0.011263674544325,0.0147321411236513,-0.0073209006068919,0.0073209006068919,5.3595585695991595e-05,0.62125,0.9133333333333332,0.0119009599422227,0.0079388617668836,0.018058318914118,-0.0073209006068919,0.0073209006068919,5.3595585695991595e-05,0.642,0.2291833333333333,0.81
2023-03-16,0.0124801842689926,0.0109873187330279,0.0145091483437392,0.0170940395714932,0.0170940395714932,0.0002922061888717,0.59225,0.8913333333333333,0.0104317275845085,0.0067325289266571,0.0162118327256079,0.0170940395714932,0.0170940395714932,0.0002922061888717,0.6303333333333333,0.2496,0.758
2023-03-17,0.0132673213278464,0.0116818275723527,0.0151166455396508,-0.0113961579514921,0.0113961579514921,0.0001298724160553,0.52975,0.9013333333333332,0.0120634429445811,0.0067969663498206,0.0219434446338456,-0.0113961579514921,0.0113961579514921,0.0001298724160553,0.677,0.2561366666666667,0.7986666666666666
2023-03-20,0.0128944592971476,0.011400147485791,0.014577093699433,0.0085633329584023,0.0085633329584023,7.333067135645915e-05,0.489,0.9093333333333332,0.0105342596358944,0.007810084627279,0.0143462101551405,0.0085633329584023,0.0085633329584023,7.333067135645915e-05,0.5683333333333334,0.22461,0.7813333333333333
2023-03-21,0.0124659390810606,0.0110063486302008,0.0140061757181453,0.0125831108410206,0.0125831108410206,0.0001583346784374,0.6285,0.898,0.0129881894625797,0.0085526926886412,0.0209494460427868,0.0125831108410206,0.0125831108410206,0.0001583346784374,0.586,0.2557133333333333,0.7926666666666666
2023-03-22,0.0125841030244854,0.0110977568817401,0.014134088365359,-0.0169157853173812,0.0169157853173812,0.0002861437929037,0.4735,0.9173333333333332,0.0117714687107888,0.0073423091668008,0.0171500329252927,-0.0169157853173812,0.0169157853173812,0.0002861437929037,0.659,0.2210766666666666,0.8066666666666666
2023-03-23,0.013270178089329,0.0116094427882339,0.0149382405843985,0.0026645471916439,0.0026645471916439,7.099811736497416e-06,0.49275,0.8953333333333333,0.0131763898639057,0.0081457292718589,0.0207789754508186,0.0026645471916439,0.0026645471916439,7.099811736497416e-06,0.6586666666666666,0.2535266666666667,0.812
2023-03-24,0.0124661991254239,0.0109887617304859,0.0139877932961292,0.0053084264067647,0.0053084264067647,2.8179390916036828e-05,0.58825,0.9146666666666666,0.0110144166368278,0.0068246589960422,0.0161942668476684,0.0053084264067647,0.0053084264067647,2.8179390916036828e-05,0.6556666666666666,0.25729,0.7966666666666666
2023-03-27,0.0117950037118582,0.0101107770060606,0.0135797816759295,0.0013300628862285,0.0013300628862285,1.7690672813225e-06,0.59025,0.9,0.0108706015952295,0.0075748126805881,0.0154891634569461,0.0013300628862285,0.0013300628862285,1.7690672813225e-06,0.531,0.2485866666666666,0.8086666666666666
