Date,PredVolMean,PredVolQ025,PredVolQ975,ActualReturn,ActualAbsReturn,ActualSqReturn,ParamAcceptRate,LatentAcceptRate,PilotAcceptRate
2023-12-08,0.00602130244702578,0.0037136695449846457,0.008826636376396938,0.003771597468965204,0.003771597468965204,1.4224947467904734e-05,0.693,0.31249333333333335,0.816
2023-12-11,0.005785654767121072,0.0028924545961283594,0.010054215137417376,0.0036012768702429043,0.0036012768702429043,1.2969195096146528e-05,0.635,0.36657666666666666,0.7986666666666666
2023-12-12,0.005708625771926836,0.0031052728830229374,0.010363767727962594,0.0042732761181539045,0.0042732761181539045,1.8260888781984504e-05,0.6823333333333333,0.27197666666666664,0.7626666666666667
2023-12-13,0.006366863689021775,0.003089026750123809,0.011920473162217785,0.013242808497481304,0.013242808497481304,0.00017537197690096305,0.642,0.3007166666666667,0.8193333333333334
2023-12-14,0.006506264123070165,0.00453234785380871,0.009243773068018388,0.0023280285076159044,0.0023280285076159044,5.419716732272335e-06,0.6283333333333333,0.24007,0.8013333333333333
2023-12-15,0.006534903269243566,0.0029557492407268925,0.011308897835792286,-0.00039178907798709034,0.00039178907798709034,1.5349868162997435e-07,0.5433333333333333,0.31068,0.812
2023-12-18,0.005910368859414676,0.00274218667834976,0.00914709721348943,0.004202585585862004,0.004202585585862004,1.766172560649508e-05,0.6226666666666667,0.26144666666666666,0.8253333333333334
2023-12-19,0.005645082525107735,0.0026796080161773394,0.01008654077648225,0.005533730773280404,0.005533730773280404,3.0622176271150534e-05,0.5803333333333334,0.31155,0.7853333333333333
2023-12-20,0.005682797043505023,0.003501487181858206,0.008843382700628889,-0.015108684642844096,0.015108684642844096,0.00022827235163691304,0.5326666666666666,0.26704,0.81
2023-12-21,0.006997280357808812,0.0041090492069004204,0.011808433990267998,0.009933232629733304,0.009933232629733304,9.86691104763984e-05,0.689,0.2828366666666667,0.8026666666666666
2023-12-22,0.007673985432855538,0.004834991323915463,0.012689760731565929,0.0013431454752225044,0.0013431454752225044,1.8040397676106872e-06,0.6703333333333333,0.27080666666666664,0.806
2023-12-26,0.006308242234413937,0.0033386977581236683,0.009775807576175691,0.003907224369440005,0.003907224369440005,1.526640227314584e-05,0.673,0.28119333333333335,0.8093333333333333
2023-12-27,0.007170053928193028,0.004390681950809217,0.011991219546126693,0.0011138989388844046,0.0011138989388844046,1.2407708460478025e-06,0.63,0.2675266666666667,0.7853333333333333
2023-12-28,0.007579054725736649,0.003201914108127436,0.017591029528775698,5.4569432788604405e-05,5.4569432788604405e-05,2.9778229948700137e-09,0.5256666666666666,0.3086833333333333,0.8153333333333334
2023-12-29,0.006735608599728387,0.0047375848313456655,0.009607360291090319,-0.003146013714272296,0.003146013714272296,9.897402290389367e-06,0.6553333333333333,0.26695,0.808
2024-01-02,0.008042085660814291,0.005474725130358959,0.011313711299995649,-0.005992197477261596,0.005992197477261596,3.5906430606500237e-05,0.6826666666666666,0.25121666666666664,0.796
2024-01-03,0.005487184563672255,0.003074233357273275,0.008358126950184178,-0.008364155004736095,0.008364155004736095,6.995908894325186e-05,0.7056666666666667,0.22682333333333332,0.824
2024-01-04,0.006494034763846503,0.003664470971489951,0.010659383996421502,-0.003749808340855896,0.003749808340855896,1.4061062593152447e-05,0.6296666666666667,0.27174,0.7913333333333333
